City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
381,San Carlos De Bariloche,AR,71.6,few clouds,-41.1456,-71.3082,Hotel Patagonia
399,Bengkulu,ID,76.26,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
403,Mount Isa,AU,77.0,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
406,Pangkalanbuun,ID,71.28,few clouds,-2.6833,111.6167,Grand Kecubung Hotel
407,Bouca,CF,77.68,overcast clouds,6.5105,18.2733,
408,Grand Gaube,MU,77.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
421,Marsh Harbour,BS,77.88,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
432,Salinopolis,BR,78.06,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
435,Dourbali,TD,73.26,clear sky,11.8091,15.8632,
441,Namibe,AO,74.8,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
449,Mount Gambier,AU,71.6,scattered clouds,-37.8333,140.7667,Commodore on the Park
450,Ipixuna,BR,75.2,broken clouds,-1.7625,-48.8043,Casa da Oscarina
451,Senges,BR,78.01,clear sky,-24.1128,-49.4636,Centro de Lazer Bela VIsta
458,Tagusao,PH,77.61,few clouds,9.1924,117.8141,Toledo
467,Dingle,PH,73.71,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
468,Kihei,US,78.8,scattered clouds,20.785,-156.4656,Maui Sunset
470,Ampanihy,MG,73.9,light rain,-24.7,44.75,Angora Hotel
472,Mtimbira,TZ,75.18,overcast clouds,-8.7833,36.35,
474,Padang,ID,73.4,few clouds,-0.9492,100.3543,Mercure Padang
476,Lazaro Cardenas,MX,76.62,clear sky,17.9583,-102.2,Collection O Hotel Quinta Antigua
479,Jaguariaiva,BR,78.01,broken clouds,-24.2511,-49.7058,San Juan Jaguariaíva
491,Sawakin,SD,78.84,clear sky,19.1059,37.3321,فندق الدويم
497,Tulum,MX,79.0,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
502,Waingapu,ID,77.45,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
507,Hoopstad,ZA,75.22,broken clouds,-27.8327,25.9083,Nel's Rust Self Catering Accommodation
510,Ambilobe,MG,75.9,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
511,Lobito,AO,76.69,clear sky,-12.3481,13.5456,Casa Rosa Hotel Residence
512,Imbituba,BR,75.2,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
515,Mareeba,AU,75.2,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
516,Mana,GF,78.22,broken clouds,5.6592,-53.7767,LE SAMANA
521,Santa Rosa,PH,75.2,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
525,Inongo,CD,76.1,overcast clouds,-1.95,18.2667,Hotel Du Lac
531,Mogadishu,SO,77.0,scattered clouds,2.0371,45.3438,Hotel Juba
551,Singaparna,ID,72.99,light rain,-7.3515,108.111,Wisma Dewi Hotel
552,Rio Bueno,CL,73.4,scattered clouds,-40.3167,-72.9667,Hostal Caulle
556,Altamira,BR,78.8,clear sky,-3.2033,-52.2064,Requinte Hotel
560,Satipo,PE,79.92,overcast clouds,-11.2522,-74.6386,Hotel Mayros
568,Boa Esperanca,BR,75.18,clear sky,-21.09,-45.5658,Hotel do Lago
577,Harper,LR,79.86,overcast clouds,4.375,-7.7169,Screensaver
578,Manokwari,ID,77.7,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
