City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
530,Brza Palanka,44.4709,22.444,21.0,56,10,27.4,RS,2021-02-11 23:02:41,clear sky
531,Wewak,-3.5534,143.6268,78.73,85,100,3.51,PG,2021-02-11 23:02:41,overcast clouds
532,Kendari,-3.945,122.4989,78.37,88,100,1.41,ID,2021-02-11 23:02:42,light rain
533,Kaputa,-8.4689,29.6619,69.82,82,100,1.43,ZM,2021-02-11 23:02:42,light rain
534,Sanchi,23.4833,77.7333,58.48,33,67,4.09,IN,2021-02-11 23:02:42,broken clouds
535,Richards Bay,-28.783,32.0377,74.5,92,13,2.08,ZA,2021-02-11 23:02:42,light rain
536,Kaduqli,11.0167,29.7167,72.95,20,12,5.88,SD,2021-02-11 23:02:42,few clouds
537,Brokopondo,4.75,-55.1667,76.71,83,94,9.53,SR,2021-02-11 23:02:42,overcast clouds
538,Sambava,-14.2667,50.1667,76.37,87,100,4.65,MG,2021-02-11 23:02:43,overcast clouds
539,Nadym,65.5333,72.5167,-22.63,87,100,8.97,RU,2021-02-11 23:02:43,overcast clouds
540,Peniche,39.3558,-9.3811,57.99,92,76,14.0,PT,2021-02-11 23:02:37,broken clouds
541,Ahipara,-35.1667,173.1667,68.45,52,5,9.51,NZ,2021-02-11 23:02:43,clear sky
542,Opuwo,-18.0607,13.84,66.15,76,93,6.31,NA,2021-02-11 23:01:11,overcast clouds
543,Woodward,36.4337,-99.3904,17.6,86,90,3.44,US,2021-02-11 23:02:43,light snow
544,Westport,41.1415,-73.3579,30.2,47,1,11.5,US,2021-02-11 22:57:58,clear sky
545,Kananga,-5.8958,22.4178,70.45,93,89,2.19,CD,2021-02-11 23:02:00,overcast clouds
546,Saint-Georges,12.0564,-61.7485,80.6,69,20,18.41,GD,2021-02-11 23:02:43,few clouds
547,Hopkinsville,36.8656,-87.4886,28.4,100,90,9.22,US,2021-02-11 22:58:49,light rain
548,Chiquilistlan,20.2,-103.8167,75.2,9,1,16.11,MX,2021-02-11 23:02:44,clear sky
549,Kalmar,56.6616,16.3616,18.0,85,75,10.36,SE,2021-02-11 23:02:44,broken clouds
550,Tempio Pausania,40.8974,9.1035,51.8,76,40,12.66,IT,2021-02-11 23:02:44,scattered clouds
